"data","stato","denominazione_regione","lat","long","ricoverati_con_sintomi","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi"
"5/24/2020","ITA","Abruzzo","42.35122196","13.39843823","149","152","940","1092","-76","5","1736","398","3226"
"5/24/2020","ITA","Basilicata","40.63947052","15.80514834","13","14","25","39","-2","1","333","27","399"
"5/24/2020","ITA","P.A. Bolzano","46.49933453","11.35662422","30","35","160","195","-19","3","2107","291","2593"
"5/24/2020","ITA","Calabria","38.90597598","16.59440194","43","44","231","275","-13","0","786","96","1157"
"5/24/2020","ITA","Campania","40.83956555","14.25084984","311","319","949","1268","-5","5","3076","405","4749"
"5/24/2020","ITA","Emilia-Romagna","44.49436681","11.3417208","519","602","3855","4457","-113","45","19046","4055","27558"
"5/24/2020","ITA","Friuli Venezia Giulia","45.6494354","13.76813649","62","63","349","412","-47","3","2495","329","3236"
"5/24/2020","ITA","Lazio","41.89277044","12.48366722","1088","1149","2420","3569","-12","20","3374","684","7627"
"5/24/2020","ITA","Liguria","44.41149315","8.9326992","247","265","1359","1624","-110","53","6437","1419","9480"
"5/24/2020","ITA","Lombardia","45.46679409","9.190347404","4017","4214","21400","25614","-16","285","45656","15840","87110"
"5/24/2020","ITA","Marche","43.61675973","13.5188753","101","114","1578","1692","-21","13","4028","994","6714"
"5/24/2020","ITA","Molise","41.55774754","14.65916051","6","8","175","183","-6","1","227","22","432"
"5/24/2020","ITA","Piemonte","45.0732745","7.680687483","1283","1358","6345","7703","-322","43","18694","3783","30180"
"5/24/2020","ITA","Apulia","41.12559576","16.86736689","204","221","1572","1793","-12","10","2178","487","4458"
"5/24/2020","ITA","Sardegna","39.21531192","9.110616306","51","54","191","245","-42","0","982","129","1356"
"5/24/2020","ITA","Sicily","38.11569725","13.3623567","91","100","1353","1453","-59","2","1701","269","3423"
"5/24/2020","ITA","Toscana","43.76923077","11.25588885","148","186","1514","1700","-66","15","7349","1013","10062"
"5/24/2020","ITA","Trentino-Alto Adige","46.06893511","11.12123097","27","31","504","535","-30","9","3412","457","4404"
"5/24/2020","ITA","Umbria","43.10675841","12.38824698","15","17","36","53","-3","0","1302","75","1430"
"5/24/2020","ITA","Valle d'Aosta","45.73750286","7.320149366","23","24","8","32","-3","1","1003","143","1178"
"5/24/2020","ITA","Veneto","45.43490485","12.33845213","185","196","2464","2660","-181","17","14557","1869","19086"
